,document_text
10,"['Five people were killed and two others injured today when a truck in which they were travelling overturned in West Bengal\'s Howrah district, police said.The accident happened in the early hours of the day when the truck laden with bricks overturned and fell into a ditch.""Five people including the driver were killed on the spot while two others were hospitalised with serious injuries,"" said a police officer.']"
11,"['A car with six passengers fell into a pond in Jamuria near Asansol at around 12.15 am. (Image for representational purposes)\n\nNine persons died and around 75 were injured in two separate road accidents in the state on Saturday.\n\nIn the first incident, a car with six passengers fell into a pond in Jamuria near Asansol at around 12.15 am. Four people died in the incident. According to police, the car was speeding and they suspected that the driver was inebriated.\n\nWatch What Else Is Making News?\n\nThe victims have been identified as Mohendra Dokania (45), Rahul Yadav (22), Bikki Sharma (26) Harindra Yadav (26), All residents of Jamuria. “We have recovered alcohol bottles from the car,” said police. The two injured are being treated at a local hospital.\n\nIn another incident, which happened at around 3.15am, a private bus ferrying around 70 people rammed into a parked trailer at Howrah Uluberia on National Highway 6 (NH-6). Four persons, including an 11-year-old girl, died on the spot. A 40-year-old woman succumbed to her injury in a local hospital.\n\nAccording to police, the group was returning after a visit to Puri in Odissa. Prima facie, police said, it seemed the driver did not see the parked trailer due to the heavy fog on the route at that time. The trailer carried iron rods, which pierced passengers. Police and fire brigade had to use iron cutters to rescue them. Twelve people are still being treated for their injuries. The drivers of the bus and the trailer fled from the spot.']"
12,"[""Kolkata: Atleast 13 persons were killed and as many as 18 injured in an accident in Dhupguri city of West Bengal's Jalpaiguri district on Tuesday night due to reduced visibility caused by fog.\n\nAccording to police sources, commercial vehicle Tata Magic, a Maruti van, and a car were travelling towards Dhupguri.\n\nThe first vehicle collided head-on with a truck due to reduced visibility. The truck driver lost control and the minivan and the car which were coming from opposite directions, collided.\n\nThe accident took place near Jaldhaka Bridge on the national highway.\n\nOne of the vehicles was transporting wedding guests to Dhupguri from Churabhandar Lal School when the incident took place.\n\nWest Bengal: 13 people died in an accident in Dhupguri city of Jalpaiguri district last night, due to reduced visibility caused due to fog. The injured were taken to a hospital. pic.twitter.com/HHUvqCist6 — ANI (@ANI) January 20, 2021\n\nAs per hospital sources, a total of 13 were brought dead and 18 were reportedly injured. Of the 13 people, there are two male corpses, six female corpses, four children, the hospital sources informed.\n\nFour of the 18 injured were taken to Jalpaiguri Superspecialty Hospital, three to North Bengal Medical College, and one person has been admitted to Jalpaiguri Sadar Hospital.\n\n(This a developing news story, more details awaited)\n\nLive TV""]"
13,"['Strategy and business building for the data-driven economy:\n\nThe best of the best: the portal for top lists & rankings:\n\nGet quick analyses with our professional research service\n\nDirectly accessible data for 170 industries from 50 countries and over 1 million facts:\n\nDetailed information for 35,000+ online stores and marketplaces\n\nBusiness information on 70m+ public and private companies\n\nInsights on consumer attitudes and behavior worldwide\n\nMarket forecast and expert KPIs for 600+ segments in 150+ countries\n\nAll key figures about countries and regions\n\nDetailed information about political and social topics\n\nConsumer and brand insights and preferences in various industries\n\nKey figures and rankings about companies and products\n\nIndustry and market insights and forecasts\n\nOverview and forecasts on trending topics\n\nMotorcycle industry in the United States - statistics & facts\n\nAnnual gas prices in the United States 1990-2021\n\nBattery electric vehicles in use worldwide 2016-2021\n\nAnnual car sales worldwide 2010-2022, with a forecast for 2023\n\nPlease create an employee account to be able to mark statistics as favorites. Then you can access your favorite statistics via the star in the header. Register now\n\nCurrently, you are using a shared account. To use individual functions (e.g., mark statistics as favourites, set statistic alerts) please log in with your personal account. If you are an admin, please authenticate by logging in again. Login\n\nStatista Accounts: Access All Statistics. Starting from $468 USD / Year\n\nBasic Account Get to know the platform You only have access to basic statistics. Starter Account The ideal entry-level account for individual users Instant access to 1m statistics\n\nto 1m statistics Download in XLS, PDF & PNG format\n\nin XLS, PDF & PNG format Detailed references $69 USD $39 USD / Month * in the first 12 months Professional Account Full access Business Solutions including all features. * Prices do not include sales tax.\n\nStatista Accounts: Access All Statistics. Starting from $468 USD / Year Learn more about how Statista can support your business. Request webinar\n\nMinistry of Road Transport and Highways (India). (May 9, 2022). Number of road accidents across West Bengal in India from 2014 to 2020 (in 1,000s) [Graph]. In Statista . Retrieved April 19, 2023, from https://www.statista.com/statistics/1084338/india-road-accidents-in-west-bengal/\n\nMinistry of Road Transport and Highways (India). ""Number of road accidents across West Bengal in India from 2014 to 2020 (in 1,000s)."" Chart. May 9, 2022. Statista. Accessed April 19, 2023. https://www.statista.com/statistics/1084338/india-road-accidents-in-west-bengal/\n\nMinistry of Road Transport and Highways (India). (2022). Number of road accidents across West Bengal in India from 2014 to 2020 (in 1,000s) . Statista . Statista Inc.. Accessed: April 19, 2023. https://www.statista.com/statistics/1084338/india-road-accidents-in-west-bengal/\n\nMinistry of Road Transport and Highways (India). ""Number of Road Accidents across West Bengal in India from 2014 to 2020 (in 1,000s)."" Statista , Statista Inc., 9 May 2022, https://www.statista.com/statistics/1084338/india-road-accidents-in-west-bengal/\n\nMinistry of Road Transport and Highways (India), Number of road accidents across West Bengal in India from 2014 to 2020 (in 1,000s) Statista, https://www.statista.com/statistics/1084338/india-road-accidents-in-west-bengal/ (last visited April 19, 2023)\n\nNumber of road accidents across West Bengal in India from 2014 to 2020 (in 1,000s) [Graph], Ministry of Road Transport and Highways (India), May 9, 2022. [Online]. Available: https://www.statista.com/statistics/1084338/india-road-accidents-in-west-bengal/']"
14,"[""Six people were killed when the car in which they were travelling collided head-on with a lorry coming from the opposite direction in West Bengal's Hooghly district, police said early on Sunday.\n\nThe accident took place on the Durgapur Expressway at Haripal on Saturday evening, police said.\n\nFive people died on the spot and one person succumbed to injuries on way to a hospital.""]"
15,"['Jalpaiguri: In a tragic incident, 14 people died in an accident and 18 were injured in Dhupgiri town of Jalpaiguru district in West-Bengal last night.\n\nThe mishap took place due to reduced visibility caused by fog.\n\nPolice said, that a vehicle collided head-on with a boulder-loaded truck whose driver lost control of the vehicle, hit the divider and slipped towards its right side. Two other vehicles coming from the wrong side collided with the truck due to which boulders loaded in the vehicle fell on the vehicles. In all, four vehicles were damaged.\n\nThe local villagers along with the police officers rescued the injured from the accident site and admitted them to the hospital.\n\nPrime Minister Narendra Modi expressed grief over the road mishap in Dhupgiri town of Jalpaiguri district in West Bengal. He announced to pay Rs 2,00,000 compensation for the relatives of the deceased and Rs 50,000 for the injured from the Prime Minister’s National Relief Fund(PMNRF)\n\nThedriver of the truck has been taken into custody for negligent driving.']"
16,"['""A vehicle collided head-on with a boulder loaded truck whose driver lost control of the vehicle and hit the divider and slipped towards its right side. Two other vehicles coming from the wrong side collided into the body of the truck due to which boulders loaded in the vehicle fell on them. Another small lorry in front of the truck was also damaged. In all, four vehicles got damaged,"" Sumant Roy, Assistant Superintendent of Police, Jalpaiguri said, reported NDTV.']"
17,"[""Published on: May 4, 2019 | Updated on: May 5, 2019\n\nShantanu Thakur, Bharatiya Janata Party's (BJP) Lok Sabha candidate from Bongaon has been hospitalised after he met with a road accident on Saturday near North 24 Parganas's Jagulia area. (Photo: ANI)\n\nKolkata: Shantanu Thakur, Bharatiya Janata Party's (BJP) Lok Sabha candidate from Bongaon has been hospitalised after he met with a road accident on Saturday near North 24 Parganas's Jagulia area.\n\nThakur sustained injuries when the car he was travelling in met with an accident. He has been taken to Bangaon Medical College and Hospital where he's being treated of his injuries.\n\n(Photo: Twitter | ANI)\n\nFurther details are currently awaited.\n\nThakur is the grandson of Binapani Devi, who died in March 2019.\n\nKeep yourself updated on Lok Sabha Elections 2019 with our round-the-clock coverage -- breaking news, updates, analyses et all. Happy reading.""]"
18,"['As many as 10 kanwariyas lost their lives late on Sunday night after a pickup van in which they were travelling got electrocuted at the Cooch Behar district in West Bengal, said the police on Monday. The van was travelling to Jalpesh when the accident took place.\n\nFollowing the incident, the 27 passengers were rushed to a local hospital where 16 of them were referred to the Jalpaiguri hospital as they sustained only minor injuries. The West Bengal Police suspects that the incident took place due to the DJ system in the van.\n\nAmit Varma, Additional Superintendent of Police (Matabhanga), said the passengers belonged to Sitalkuchi PS area and their families have been informed about the incident. He said the vehicle has been seized and a hunt is launched to nab the driver who has escaped.\n\n""Today at around 12 am, an incident took place at Dharla Bridge under Mekhliganj PS where one pick up van carrying passengers on its way to Jalpesh got electrocuted. The preliminary enquiry reveals that it might be due to wiring of the generator (DJ system) which was fitted in the back of the vehicle,"" Varma was quoted as saying by news agency ANI.\n\n""They were brought to Changrabandha BPHC. The attending Medical Officer referred 16 out of 27 persons to Jalpaiguri District hospital for better treatment. They are having minor injuries but require a thorough check-up. 10 people have been declared dead by the attending Medical Officer,"" Varma added.']"
19,"['As of August 26th, 2021 Yahoo India will no longer be publishing content. Your Yahoo Account Mail and Search experiences will not be affected in any way and will operate as usual. We thank you for your support and readership. For more information on Yahoo India, please visit the FAQ']"
20,"['Locals along with police officials assisted in rescuing the injured at the spot.\n\nFourteen members, including four children, of a marriage party were killed and 10 others injured due to a collision between a stone-laden truck and their three vehicles in West Bengal\'s Jalpaiguri on Tuesday, officials said.\n\nThe cars of the marriage party were going towards Dhupguri on the wrong side of the road and the collision took place due to dense fog, a senior police officer said.\n\nChief Minister Mamata Banerjee announced a compensation of Rs 2.5 lakh each to the immediate family of those who were killed in the accident.\n\nThe state government will provide Rs 50,000 each to those who were seriously injured, she said at a programme in Purulia.\n\nMs Banerjee also said Rs 25,000 would be given to those whose injuries are not serious.\n\n""The loss cannot be compensated. But we would like to tell the families that the government is with them. We are providing compensation to the next of kin of the deceased and the injured persons. Our local MLA Sourav Chakraborty is already there and state minister Aroop Biswas is rushing to the spot,"" Ms Banerjee said.\n\nPrime Minister Narendra Modi said he was extremely anguished over the road accident and announced an ex gratia of Rs 2 lakh each to the immediate family of those who lost their lives in the incident.\n\nHe also said that Rs 50,000 each would be given to those injured, according to the Prime Minister\'s Office (PMO).\n\nTen injured people are undergoing treatment in Jalpaiguri Super Speciality Hospital, the police officer said.']"
21,"['4 from Odisha killed as lorry hits car in West Bengal\n\nBhubaneswar: At least four persons from Odisha were killed and five others injured after a lorry hit a car in West Bengal on Monday.\n\nThe accident occurred on NH 60 near Nekursuni under Dantan police station limits in Paschim-Medinipur district when the victims were heading towards Odisha in a car following the cancellation of train service in view of COVID-19 pandemic.\n\nThe deceased have been identified as residents of Simulia and Kharia area in Balasore district of Odisha.\n\nThe injured persons have been admitted to a nearby hospital.\n\nBoth the drivers of the car and the lorry involved in the accident reportedly fled from the spot.\n\nMeanwhile, Dantan police started an investigation in this connection.']"
22,"['Eight killed in West Bengal road mishap\n\nIndia\n\nani-Abdul Nisar\n\nBy Abdul Nisar\n\nMalda (West Bengal), Sep 5 (ANI): At least eight people were killed and several others injured in a road accident on Sunday in West Bengal\'s Malda District.\n\nThe mishap took place when a speeding vehicle, carrying 17 passengers, tried to overtake a truck and in the process collided with another truck on a National Highway-34 in the district\'s Karandighi area.\n\nThe travellers have received grave injuries, including wounds on the head.\n\nAs soon as the accident took place, locals rushed to the site and took out the dead and the injured from the mangled vehicle, and carried them to a nearby hospital.\n\n""One Trekker (an SUV), comprising of 17 passengers and a driver, collided head-on with a truck. Out of these, eight have already died and others are seriously injured. All the passengers and driver have been admitted to Malda Sadar (district) Hospital,"" said Kalyan Mukherjee, Additional Superintendent of Police.\n\nThe condition of three of them is said to be critical. By Tarak Sarkar (ANI)\n\nFor Breaking News and Instant Updates Allow Notifications\n\nStory first published: Sunday, September 5, 2010, 20:47 [IST]']"
23,"['The West Bengal government on Saturday announced a compensation of Rs two lakh each for the next of kin of three people from the state who were killed in a road accident in Uttar Pradesh\'s Auraiya district while returning home, a top official said.\n\nAt least 24 migrant workers were killed and 36 injured when a trailer rammed into a stationary truck, both carrying passengers, on a highway near Auraiya in the early hours of Saturday.\n\n""There are confirmed reports that three people from Purulia district died in the road accident in UP. A compensation of Rs two lakh each will be sent to their immediate kin,"" the senior state government official told PTI.\n\n""We are also getting reports about the death of another person from the same district in the accident. We are trying to get a confirmation,"" he said.\n\nChief Minister Mamata Banejee has also expressed grief over the mishap.\n\n""Extremely saddened to hear of the tragic road accident in #Auraiya, Uttar Pradesh. My condolences to the families of the migrant brothers and sisters who have lost their lives. May their souls rest in peace. Praying for recovery of those injured,"" Banerjee said in a tweet.\n\nAlso Read UP govt declares corona a state disaster Pending salaries of ambulance service drivers in UP to be released soon Over 50 people booked for violating lockdown in Muzaffarnagar Muzaffarnagar: 80 more samples test negative for COVID-19 UP starts bringing back its native workers stuck up elsewhere: Official Pizzas (and haircuts) back on the menu, but with warnings Teenaged shooter comes forward to help pandemic victims Rising COVID-19 cases in Wayanad and Kasaragod causing concern Will accept post of chairman of BOA of SMC only if no TMC members in board: Bhattacharya MP: 2 killed as neighbours fight over man breaking quarantine\n\nThe Uttar Pradesh government, too, has decided to give Rs 2 lakh to the kin of each deceased.']"
24,"[""Breaking News\n\nFourteen members, including four children, of a marriage party were killed and 10 others injured due to a collision between a stone-laden truck and their three vehicles in West Bengal's Jalpaiguri district.\n\nThe accident occurred in Jaldhaka area in Dhupguri block on Tuesday night, they said.\n\nThe cars of the marriage party were going towards Dhupguri on the wrong side of the road and the collision took place due to dense fog, a senior police officer said.\n\nTen injured people are undergoing treatment in Jalpaiguri Super Speciality Hospital, he added.""]"
